title,bait,question,incl_caps,number_start,you,word_count,make_me,modifier,curse
"AT&T-Time Warner deal near, sources say",0,0,0,0,0,6,0,0,0
"ISIS kills hundreds of men, kids",0,0,1,0,0,6,0,0,0
Pirate radio risks death to fight ISIS,0,0,1,0,0,7,0,0,0
Emmett Till memorial shot up,0,0,0,0,0,5,0,0,0
Bill Murray crashes White House briefing,0,0,0,0,0,6,0,0,0
Your webcam may have contributed to big Internet outage,0,0,0,0,1,9,0,0,0
Report: Scrap $40B carrier program,0,0,1,0,0,5,0,0,0
"Comedian, actor found dead",0,0,0,0,0,4,0,0,0
Helicopter crash kills 19 in Siberia,0,0,0,0,0,6,0,0,0
Deaths in Cameroon train crash reach 70,0,0,0,0,0,7,0,0,0
Pirates' hostages freed in Somalia,0,0,0,0,0,5,0,0,0
Semi-naked Briton dead at Malaga airport,0,0,0,0,0,6,0,0,0
First woman to climb Everest dies at 77,0,0,0,0,0,8,0,0,0
Hairless hamster gets new sweater,0,0,0,0,0,5,0,0,0
Trump's foe in Utah isn't Clinton,0,0,0,0,0,6,0,0,0
Emails: Clinton campaign stressed about Gore before endorsement,0,0,0,0,0,8,0,0,0
Bush letter to Clinton shows grace in politics,0,0,0,0,0,8,0,0,0
GOP group runs first ad calling for check and balance on White House,0,0,1,0,0,13,0,0,0
SE Cupp reads Donald Trump's mean tweets -- but won't back down,0,0,1,0,0,12,0,0,0
Bush v. Gore lawyer: Trump is clueless,0,0,0,0,0,7,0,0,0
You won't have Trump to kick around anymore?,0,1,0,0,1,8,0,0,0
Trump and Clinton missed their last chance,0,0,0,0,0,7,0,0,0
Walls to keep out immigrants help terrorists,0,0,0,0,0,7,0,0,0
Debate moderators failed millennials,0,0,0,0,0,4,0,0,0
The job Donald Trump really wants,0,0,0,0,0,6,0,1,0
Trump rips into possible AT&T-Time Warner deal,0,0,0,0,0,7,0,0,0
American hacker sends Russia a warning,0,0,0,0,0,6,0,0,0
Cyberattack turned devices into weapons,0,0,0,0,0,5,0,0,0
How a leather bag startup hit $1M in sales in 14 months,0,0,1,0,0,12,0,0,0
Widespread cyberattack takes down sites,0,0,0,0,0,5,0,0,0
Why is Kodak making a smartphone?,0,1,0,0,0,6,0,0,0
Beware the slow version of the new iPhone 7,0,0,0,0,0,9,0,0,0
Your luggage could follow you around the airport,0,0,0,0,1,8,0,0,0
The Clinton Foundation's pay gap worried campaign,0,0,0,0,0,7,0,0,0
LinkedIn hacking suspect identified by feds,0,0,0,0,0,6,0,0,0
Cloth slow cooker empowers rural women,0,0,0,0,0,6,0,0,0
Hot new toy Hatchimals is a real-life Tamagotchi,0,0,0,0,0,8,0,0,0
Startup uses journalism to make kids better readers,0,0,0,0,0,8,0,0,0
Build your own bike -- out of bamboo,0,0,1,0,1,8,0,0,0
Iconic '80s toy bear Teddy Ruxpin is back,0,0,0,0,0,8,0,0,0
Pizza with purpose: MOD gives ex-cons a second chance,0,0,1,0,0,9,0,0,0
Where are all the startups?,0,1,0,0,0,5,0,0,0
Home Depot pulls Scary Peeper Creeper from stores,0,0,0,0,0,8,0,0,0
"3,300 migrants rescued off Libyan coast",0,0,0,1,0,7,0,0,0
Australian swimmer thanks fan who raised alarm over mole,0,0,0,0,0,9,0,0,0
50 killed in Cameroon train crash,0,0,0,1,0,6,0,0,0
Venezuela halts effort to recall president,0,0,0,0,0,6,0,0,0
Duterte: We're not really severing ties with US,0,0,1,0,0,8,0,1,0
Mexican police chief arrested in connection with missing students,0,0,0,0,0,9,0,0,0
London City Airport declared safe after evacuation,0,0,0,0,0,7,0,0,0
US destroyer sails in South China Sea to make a point,0,0,1,0,0,11,0,0,0
Calais Jungle camp demolition to begin,0,0,0,0,0,6,0,0,0
US service member killed in action in Northern Iraq,0,0,1,0,0,9,0,0,0
2 states say 'nyet' to Russia's offer to monitor elections,0,0,0,1,0,10,0,0,0
Suspected leader of Dhaka cafe attack died in police raid,0,0,0,0,0,10,0,0,0
'El Chapo' extradition clears legal hurdle,0,0,0,0,0,6,0,0,0
CNN set to announce top 10 Heroes for 2016,0,0,1,0,0,9,0,0,0
NASA successfully launches Antares rocket,0,0,1,0,0,5,0,0,0
Corruption probe: Former legislator arrested,0,0,0,0,0,5,0,0,0
Venezuela slams ad comparing Trump to Chavez,0,0,0,0,0,7,0,0,0
"Colombia army kills one rebel, captures four",0,0,0,0,0,7,0,0,0
"US lifts import limits on Cuban cigars, alcohol",0,0,1,0,0,8,0,0,0
Latin America's 1st elephant sanctuary,0,0,0,0,0,5,0,0,0
What Venezuela's bad economy means for dogs,0,0,0,0,0,7,0,0,0
Haitian-Americans hurricane relief efforts,0,0,0,0,0,4,0,0,0
HK shuts down as it waits typhoon,0,0,1,0,0,7,0,0,0
Philippines hit by second storm in a week,0,0,0,0,0,8,0,0,0
US military: Failed North Korea missile,0,0,1,0,0,6,0,0,0
"No Serena Williams, so who'll win WTA Finals?",0,1,1,0,0,8,0,0,0
Lese majeste: Thailand's most controversial law,0,0,0,0,0,6,0,0,0
No insulting monarchy in Thailand,0,0,0,0,0,5,0,0,0
'Why I still support Duterte',0,0,0,0,0,5,0,0,0
China spacecraft docks successfully,0,0,0,0,0,4,0,0,0
Manila: Police van plowed into crowd,0,0,0,0,0,6,0,0,0
Indian PM: Time to defy state sponsors of terror,0,0,1,0,0,9,0,0,0
Mosul: Google reveals what you want to know,0,0,0,0,1,8,0,1,0
Iraqi city of Kirkuk attacked by ISIS,0,0,1,0,0,7,0,0,0
Explaining the 'Kurdish question',0,0,0,0,0,4,0,0,0
"Who still lives in this decimated city, and why?",0,1,0,0,0,9,0,0,0
Assad's wife: I gave up chance to 'run from Syria',0,0,0,0,0,10,0,0,1
Refugee children arrive in UK from France,0,0,1,0,0,7,0,0,0
Inside the battle for Mosul,0,0,0,0,0,5,0,0,0
American family sentenced to prison in Iran,0,0,0,0,0,7,0,0,0
Emmett Till sign riddled with bullet holes,0,0,0,0,0,7,0,0,0
Emu lassoed on Arizona highway,0,0,0,0,0,5,0,0,1
Actor-comedian Kevin Meaney found dead,0,0,0,0,0,5,0,0,0
Meet the baby who was born twice,0,0,0,0,0,7,0,0,0
NYPD investigates white powder at Clinton campaign HQ,0,0,1,0,0,8,0,0,0
Police clear police in fatal shooting of Jamar Clark,0,0,0,0,0,9,0,0,0
